model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max
RandomForestClassifier (SMOTE + MEC),100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
RandomForestClassifier (SMOTE + STD),100.0,0.7944074014351368,0.047047034783445234,0.6050955414012739,0.7643312101910829,0.802547770700637,0.8240949770216883,0.8734177215189873
StackingClassifier (Balanced + MEC),100.0,0.16507780375715547,0.025095068297752876,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.3630573248407643
StackingClassifier (Balanced + STD),100.0,0.7970813512859793,0.034765575603804645,0.7088607594936709,0.7770700636942676,0.7961783439490446,0.821656050955414,0.8726114649681529
StackingClassifier (Baseline),100.0,0.8808578569700878,0.018020278291442347,0.821656050955414,0.8726114649681529,0.8789808917197452,0.89171974522293,0.9235668789808916
StackingClassifier (Cost-sensitive + MEC),100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
StackingClassifier (Cost-sensitive + STD),100.0,0.7271111827783602,0.0506148951122096,0.5987261146496815,0.6878980891719745,0.732484076433121,0.7643312101910829,0.8164556962025317
StackingClassifier (SMOTE + MEC),100.0,0.6103886156575021,0.07675958764462276,0.4203821656050955,0.552547770700637,0.6114649681528662,0.6592759816173506,0.8407643312101911
StackingClassifier (SMOTE + STD),100.0,0.8614556962025316,0.025898759115097345,0.7452229299363057,0.8471337579617835,0.8662420382165605,0.8805732484076434,0.9044585987261148
VotingClassifier (Balanced + MEC),100.0,0.1669180843344352,0.027568715209255773,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.3375796178343949
VotingClassifier (Balanced + STD),100.0,0.7727235346287188,0.08259443018705871,0.464968152866242,0.7388535031847133,0.7848101265822784,0.8280254777070064,0.8853503184713376
VotingClassifier (Baseline),100.0,0.8681968072240587,0.018703579712129412,0.821656050955414,0.858512053535435,0.8662420382165605,0.8789808917197452,0.9235668789808916
VotingClassifier (Cost-sensitive + MEC),100.0,0.1610654680319277,0.00724194975164981,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.2088607594936709
VotingClassifier (Cost-sensitive + STD),100.0,0.5637390147544948,0.1763109517303356,0.1592356687898089,0.4745222929936305,0.6337579617834395,0.6947512698540675,0.7898089171974523
VotingClassifier (SMOTE + MEC),100.0,0.17796823349189705,0.04472858193048039,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1645569620253164,0.360759493670886
VotingClassifier (SMOTE + STD),100.0,0.7649173587035396,0.09217650097351562,0.3630573248407643,0.7245222929936306,0.7898089171974523,0.8291139240506329,0.8987341772151899
XGBClassifier (Balanced + MEC),100.0,0.44440901394823845,0.10861585238879799,0.1772151898734177,0.3694267515923566,0.46031202128517296,0.5230488591469806,0.643312101910828
XGBClassifier (Balanced + STD),100.0,0.8308522131742321,0.027173188139149713,0.7643312101910829,0.8152866242038217,0.8317544142546158,0.8481012658227848,0.8853503184713376
XGBClassifier (Baseline),100.0,0.8765939692009997,0.0184606078330098,0.8280254777070064,0.8607594936708861,0.8789808917197452,0.89171974522293,0.9171974522292994
XGBClassifier (Cost-sensitive + MEC),100.0,0.32943158913166165,0.12501254275932058,0.1582278481012658,0.22257719906474238,0.3301620575667177,0.4394904458598726,0.5732484076433121
XGBClassifier (Cost-sensitive + STD),100.0,0.758701523824881,0.052919501609797914,0.6305732484076433,0.7261146496815286,0.7643312101910829,0.7961783439490446,0.8662420382165605
XGBClassifier (SMOTE + MEC),100.0,0.546889865355156,0.19628169658234884,0.1582278481012658,0.379746835443038,0.6063452390550673,0.7201886640328952,0.8471337579617835
XGBClassifier (SMOTE + STD),100.0,0.8476481496412159,0.047354428753730686,0.6560509554140127,0.8280254777070064,0.8598726114649682,0.8789808917197452,0.910828025477707
