model,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
StackingClassifier (Cost-sensitive + MEC),100.0,0.8687211735632789,0.03700352317521272,0.7628205128205129,0.8470003023292496,0.8704545454545454,0.8975757575757575,0.9469696969696968
StackingClassifier (Cost-sensitive + STD),100.0,0.8696959224985541,0.038938471491734614,0.74504662004662,0.8434090909090909,0.8745454545454545,0.8976136363636363,0.9424242424242424
StackingClassifier (SMOTE + MEC),100.0,0.8615010743642323,0.041200975941674975,0.7424242424242425,0.8387878787878789,0.865,0.8881818181818181,0.937878787878788
StackingClassifier (SMOTE + STD),100.0,0.8639147168620853,0.03831972028640017,0.7424242424242424,0.8392628205128205,0.8660606060606061,0.8891287878787879,0.942121212121212
VotingClassifier (Balanced + MEC),100.0,0.8566606376080061,0.04395379515829968,0.7524242424242424,0.8216672143645829,0.8608350421508315,0.8890151515151514,0.9312121212121212
VotingClassifier (Balanced + STD),100.0,0.8532606971975393,0.04175797885743851,0.7054545454545454,0.8284848484848485,0.8618865345181135,0.8850757575757575,0.9263636363636364
VotingClassifier (Baseline),100.0,0.8556649753755017,0.039367215935669525,0.7581954887218045,0.8298484848484848,0.8627067669172932,0.8784951013898382,0.948181818181818
VotingClassifier (Cost-sensitive + MEC),100.0,0.8421257514415409,0.0460924910739542,0.6854545454545455,0.8090151515151516,0.845,0.8765151515151515,0.923030303030303
VotingClassifier (Cost-sensitive + STD),100.0,0.8385815798236851,0.047223242797792775,0.6854545454545455,0.8140151515151516,0.8448484848484847,0.8711363636363637,0.9136363636363636
VotingClassifier (SMOTE + MEC),100.0,0.8443375738296791,0.04102369036930875,0.7236363636363636,0.8155332167832168,0.8498251748251748,0.8731249671381249,0.94
VotingClassifier (SMOTE + STD),100.0,0.8420245692903588,0.041371710354379435,0.7121212121212122,0.8149096736596737,0.8437529137529138,0.8762183868762816,0.9287878787878788
XGBClassifier (Balanced + MEC),100.0,0.8681690449900976,0.03545673148744907,0.7467948717948718,0.8467657342657342,0.8715151515151515,0.8922043745727956,0.9372727272727271
XGBClassifier (Balanced + STD),100.0,0.8688233433233434,0.036330364648306884,0.7633082706766918,0.844848484848485,0.875168603326498,0.8941579254079255,0.9409090909090908
XGBClassifier (Baseline),100.0,0.8657038522880629,0.036839519154091574,0.7496969696969698,0.8445454545454546,0.8648484848484849,0.8959848484848485,0.9212121212121211
XGBClassifier (Cost-sensitive + MEC),100.0,0.8639434092223566,0.03799278964047622,0.7322261072261073,0.8387878787878787,0.8696969696969697,0.8884090909090909,0.932121212121212
XGBClassifier (Cost-sensitive + STD),100.0,0.8631003408871828,0.03608046926527803,0.7473776223776224,0.8359848484848484,0.8652680652680653,0.8883333333333333,0.9336363636363636
XGBClassifier (SMOTE + MEC),100.0,0.8333937575582313,0.05807620804521761,0.6357894736842105,0.8046853146853147,0.8409090909090909,0.876439393939394,0.9454545454545454
XGBClassifier (SMOTE + STD),100.0,0.8321682567432569,0.0565472600144904,0.6263636363636363,0.7957575757575758,0.8418181818181818,0.8721037296037296,0.93
