model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max
RandomForestClassifier (SMOTE + MEC),100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
RandomForestClassifier (SMOTE + STD),100.0,0.8491800370878013,0.17039871850587865,0.4810126582278481,0.7245222929936306,0.8343949044585988,0.963375796178344,1.5923566878980893
StackingClassifier (Balanced + MEC),100.0,0.8349221962428447,0.02509506829775289,0.6369426751592356,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
StackingClassifier (Balanced + STD),100.0,0.5509965330968315,0.13803311253374587,0.2420382165605095,0.445859872611465,0.5477707006369427,0.6418507619124405,0.929936305732484
StackingClassifier (Baseline),100.0,0.9830383778118196,0.13693241407998277,0.6496815286624203,0.9028662420382166,0.9808917197452228,1.095541401273885,1.2929936305732483
StackingClassifier (Cost-sensitive + MEC),100.0,0.8403329839554948,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
StackingClassifier (Cost-sensitive + STD),100.0,0.5024312666290414,0.11503454636299153,0.2611464968152866,0.4267515923566879,0.4904458598726114,0.5866423445940498,0.8291139240506329
StackingClassifier (SMOTE + MEC),100.0,0.5315883254051439,0.09954653737781544,0.3312101910828025,0.47225469644440854,0.5286624203821656,0.5987261146496815,0.8734177215189873
StackingClassifier (SMOTE + STD),100.0,0.7613678142384908,0.16832579411791798,0.4012738853503185,0.6386660485366443,0.7555631702007579,0.874203821656051,1.1464968152866242
VotingClassifier (Balanced + MEC),100.0,0.8353712811416595,0.01808967423373825,0.7197452229299363,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
VotingClassifier (Balanced + STD),100.0,0.6441042489720229,0.15496970613374583,0.3503184713375796,0.515107232121261,0.6412763041199709,0.7579617834394905,1.1019108280254777
VotingClassifier (Baseline),100.0,1.092469563815206,0.218419292800403,0.5095541401273885,0.960191082802548,1.105095541401274,1.2531847133757963,1.5987261146496816
VotingClassifier (Cost-sensitive + MEC),100.0,0.8389345319680724,0.007241949751649819,0.7911392405063291,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
VotingClassifier (Cost-sensitive + STD),100.0,0.6285821978553576,0.15494824908414281,0.3248407643312102,0.5143312101910829,0.6126945093928888,0.7472083366927356,1.1210191082802548
VotingClassifier (SMOTE + MEC),100.0,0.8243211319841975,0.04187588515021937,0.6392405063291139,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8535031847133758
VotingClassifier (SMOTE + STD),100.0,0.7462424413448359,0.20471053802667666,0.375796178343949,0.6098726114649682,0.7420382165605095,0.8728130291058616,1.2929936305732483
XGBClassifier (Balanced + MEC),100.0,0.5979424332822704,0.0984393522217302,0.3566878980891719,0.5270700636942676,0.6019108280254777,0.6624203821656051,0.8227848101265823
XGBClassifier (Balanced + STD),100.0,0.5967765863097638,0.14587221742418327,0.2292993630573248,0.4936708860759494,0.5936466983794243,0.6942675159235668,0.9620253164556962
XGBClassifier (Baseline),100.0,0.9484157058776104,0.1367941360558304,0.5987261146496815,0.8481012658227848,0.9554140127388536,1.0507135370474885,1.3184713375796178
XGBClassifier (Cost-sensitive + MEC),100.0,0.6946013061356123,0.10883085399578257,0.4522292993630573,0.5923566878980892,0.7133757961783439,0.781312988793034,0.8417721518987342
XGBClassifier (Cost-sensitive + STD),100.0,0.5366737885995323,0.12829123102282045,0.2848101265822785,0.4387950495847779,0.535031847133758,0.6178343949044586,0.9113924050632912
XGBClassifier (SMOTE + MEC),100.0,0.5910634523905507,0.14103938147994632,0.2993630573248407,0.4904458598726114,0.5796178343949044,0.6836148512456663,0.9050632911392406
XGBClassifier (SMOTE + STD),100.0,0.9166733854712571,0.1490168745754069,0.5987261146496815,0.802547770700637,0.9142949286462954,1.0015923566878981,1.3354430379746836
